epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1128.79,0.86891,1.9762,1.23996,0.70379,0.55046,0.59029,0.47838,0.67075,0.96848,1.04392,0.00333306,0.00333306,0.00333306
2,2139.63,0.85781,1.36249,1.19861,0.70835,0.58911,0.64681,0.53366,0.63971,0.81516,1.01905,0.00653439,0.00653439,0.00653439
3,3126.72,0.88003,1.29841,1.21537,0.74233,0.57858,0.64836,0.53211,0.66645,0.84657,1.04378,0.00960373,0.00960373,0.00960373
4,12342.4,0.86166,1.23884,1.20386,0.63911,0.42423,0.47631,0.3577,0.95742,1.49704,1.32659,0.009406,0.009406,0.009406
5,13316.8,0.82401,1.15998,1.17863,0.55417,0.26633,0.32557,0.22447,1.26002,2.20305,1.62367,0.009208,0.009208,0.009208
6,14308.8,0.80321,1.11841,1.16515,0.59598,0.28794,0.34436,0.24089,1.21876,2.10559,1.58124,0.00901,0.00901,0.00901
7,15299.8,0.79168,1.09474,1.15737,0.64978,0.4019,0.45639,0.33962,1.01378,1.59031,1.37492,0.008812,0.008812,0.008812
8,16297,0.78422,1.07526,1.15206,0.69017,0.50617,0.57142,0.44801,0.83373,1.17105,1.19828,0.008614,0.008614,0.008614
9,17293.8,0.77643,1.06129,1.14727,0.67645,0.57921,0.64857,0.52476,0.72847,0.93585,1.09538,0.008416,0.008416,0.008416
10,18289.3,inf,1.05189,1.14514,0.70268,0.62374,0.6923,0.57185,0.66927,0.80813,1.03987,0.008218,0.008218,0.008218
11,25911.8,0.7681,1.0396,1.14196,0.69168,0.6595,0.71813,0.60047,0.63471,0.73458,1.00857,0.00802,0.00802,0.00802
12,26903.8,0.76516,1.03611,1.13985,0.69656,0.68278,0.73422,0.61866,0.61325,0.69127,0.98973,0.007822,0.007822,0.007822
13,27904.4,0.76262,1.02457,1.13712,0.71874,0.68653,0.74425,0.63009,0.5998,0.66405,0.97872,0.007624,0.007624,0.007624
14,28904.7,0.75948,1.02263,1.13637,0.7287,0.68942,0.75181,0.63815,0.59088,0.64571,0.97158,0.007426,0.007426,0.007426
